country;year;life_ladder;log_gdp_per_capita;social_support;life_expec;freedom_to_make_life_choices;generosity;perceptions_of_corruption;positive_affect;negative_affect;confidence_in_national_government;democratic_quality;delivery_quality;standard_deviation_of_ladder_by_country_year;standard_deviation_mean_of_ladder_by_country_year;gini_index_world_bank_estimate;gini_index_world_bank_estimate_average_2000_15;gini_of_household_income_reported_in_gallup_by_wp5_year;continent;country_code;populacao_2020
Central African Republic;2017;3,47586202621460;NA;0,319589138031006;44,6453514099121;0,645252346992493;NA;0,889566004276276;0,613865196704865;0,599335491657257;0,650284886360168;NA;NA;2,80707383155823;0,807590723037720;NA;0,499000000000000;0,715371251106262;Africa;140;4829,764
Chad;2017;4,55893707275391;7,49078512191772;0,660615563392639;45,9840621948242;0,614849686622620;-0,00292905722744763;0,792389929294586;0,627503156661987;0,538245439529419;0,473544389009476;NA;NA;2,88096046447754;0,631936907768250;NA;0,415500000000000;0,561519265174866;Africa;148;16425,859
Chile;2017;6,32011938095093;10,03757858276367;0,879840791225433;69,6089401245117;0,790116488933563;-0,03526517748832703;0,835987508296967;0,838474810123444;0,291042089462280;0,268283307552338;NA;NA;2,16242027282715;0,342148631811142;NA;0,491571428571429;0,574647009372711;Americas;152;19116,209
China;2017;5,09906148910522;9,63546657562256;0,772033214569092;69,3027954101562;0,877617597579956;-0,19463473558425903;NA;0,821097254753113;0,214004755020142;NA;NA;NA;2,27166390419006;0,445506274700165;NA;0,425000000000000;0,633354961872101;Asia;156;1439323,774
Colombia;2017;6,15734195709229;9,49086093902588;0,909249961376190;64,1357803344727;0,837554633617401;-0,16587814688682556;0,875018119812012;0,836926996707916;0,299308955669403;0,221882596611977;NA;NA;2,54482150077820;0,413298726081848;NA;0,552500000000000;0,542027473449707;Americas;170;50882,884
Costa Rica;2017;7,22518157958984;9,67063426971436;0,921697139739990;69,8673019409180;0,935618460178375;-0,07826852798461914;0,742350757122040;0,874395847320557;0,275440067052841;0,407448440790176;NA;NA;2,07998394966125;0,287879824638367;NA;0,491312500000000;0,469308227300644;Americas;188;5094,114
Croatia;2017;5,34316587448120;10,01418876647949;0,770309686660767;67,0155105590820;0,715822279453278;-0,10941725224256516;0,891559720039368;0,655305027961731;0,316488236188889;0,211000666022301;NA;NA;1,57082140445709;0,293987005949020;NA;0,323333333333333;0,338284969329834;Europe;191;4105,268
Cyprus;2017;6,06205129623413;10,36136722564697;0,818671047687531;72,7627944946289;0,811670660972595;0,03628666698932648;0,851206421852112;0,784188449382782;0,300516605377197;0,312653422355652;NA;NA;2,36952495574951;0,390878409147263;NA;0,324909090909091;0,410138428211212;Asia;196;1207,361
Czechia;2017;6,78956794738770;10,39345932006836;0,900968968868256;71,4510269165039;0,831785500049591;-0,18459008634090424;0,866524994373322;0,738743960857391;0,226649791002274;0,343870818614960;NA;NA;1,69713449478149;0,249962076544762;NA;0,264727272727273;0,282945662736893;Europe;203;10708,982
Denmark;2017;7,59370231628418;10,74898910522461;0,952100098133087;71,6624984741211;0,955416321754456;0,14538709819316864;0,181147560477257;0,823667407035828;0,205775305628777;0,572353303432465;NA;NA;1,66807425022125;0,219665482640266;NA;0,267090909090909;0,630812942981720;Europe;208;5792,203
